employee_id,genre,statut_marital,departement,poste,heure_supplementaires,domaine_etude,ayant_enfants,frequence_deplacement,age,revenu_mensuel,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,ratio_poste_entreprise,evolution_evaluation,satisfaction_globale,salaire_par_experience,duree_moyenne_poste,attrition_actual,dataset_type
733,F,Marié(e),Consulting,Manager,Non,Entrepreunariat,Y,Frequent,42,4523,0,80,7,6,5,4,2,2,4,4,4,3,0.11,3,4,1,28,4,0,4,0.7142857142857143,1,4.0,565.375,7.0,0,train
734,F,Marié(e),Consulting,Tech Lead,Oui,Transformation Digitale,Y,Aucun,53,12965,4,80,27,3,2,1,2,4,3,4,2,4,0.2,3,2,1,1,4,0,2,0.5,2,2.5,463.0357142857143,5.4,0,train
735,F,Marié(e),Consulting,Manager,Non,Autre,Y,Occasionnel,29,9715,3,80,9,7,7,3,1,2,1,3,3,3,0.13,1,3,1,8,1,0,7,0.875,2,2.5,971.5,2.25,0,train
736,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,27,2517,1,80,5,5,3,1,3,1,3,2,3,3,0.11,3,2,1,4,2,0,3,0.5,0,2.25,419.5,2.5,0,train
737,F,Marié(e),Commercial,Cadre Commercial,Oui,Infra & Cloud,Y,Occasionnel,35,5204,1,80,10,10,8,3,3,2,4,4,3,3,0.11,0,2,1,7,4,0,9,0.7272727272727273,0,3.5,473.09090909090907,5.0,0,train
738,M,Célibataire,Ressources Humaines,Ressources Humaines,Non,Entrepreunariat,Y,Occasionnel,19,2564,1,80,1,1,0,1,2,1,4,3,4,3,0.12,0,3,1,2,2,0,0,0.0,1,3.0,1282.0,0.5,1,train
739,M,Marié(e),Consulting,Manager,Non,Entrepreunariat,Y,Occasionnel,40,10322,4,80,14,11,10,1,3,3,4,4,3,4,0.2,1,6,1,20,4,11,1,0.8333333333333334,1,3.0,688.1333333333333,2.8,0,train
740,M,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Y,Frequent,35,4968,1,80,5,5,2,4,3,2,4,4,3,3,0.11,1,3,1,11,2,0,2,0.3333333333333333,0,3.75,828.0,2.5,0,train
741,M,Divorcé(e),Ressources Humaines,Ressources Humaines,Oui,Transformation Digitale,Y,Occasionnel,46,5021,8,80,16,4,2,2,3,2,2,4,3,4,0.22,1,2,1,5,2,0,2,0.4,1,2.75,295.3529411764706,1.7777777777777777,0,train
742,F,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Frequent,42,4556,2,80,19,5,4,1,3,2,3,2,3,3,0.11,1,3,1,29,2,0,2,0.6666666666666666,0,2.25,227.8,6.333333333333333,0,train
743,F,Divorcé(e),Consulting,Tech Lead,Non,Autre,Y,Occasionnel,45,5770,1,80,10,10,7,4,2,2,4,1,3,3,0.19,2,3,1,2,2,3,9,0.6363636363636364,1,3.0,524.5454545454545,5.0,0,train
744,F,Célibataire,Commercial,Représentant Commercial,Non,Marketing,Y,Occasionnel,29,2760,1,80,2,2,2,2,1,1,2,3,3,3,0.13,0,3,1,9,3,2,2,0.6666666666666666,2,2.5,920.0,1.0,1,train
745,M,Divorcé(e),Consulting,Assistant de Direction,Non,Autre,Y,Frequent,34,2996,5,80,10,4,3,4,3,1,1,3,3,3,0.14,2,2,1,1,4,1,3,0.6,0,2.75,272.3636363636364,1.6666666666666667,0,train
746,F,Célibataire,Consulting,Manager,Oui,Entrepreunariat,Y,Occasionnel,49,13964,7,80,25,7,1,3,2,4,3,4,3,3,0.12,0,2,1,1,2,0,7,0.125,1,3.25,537.0769230769231,3.125,0,train
747,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,24,4260,1,80,5,5,2,4,3,2,3,4,4,3,0.12,1,2,1,10,4,0,3,0.3333333333333333,0,3.75,710.0,2.5,0,train
748,M,Célibataire,Consulting,Consultant,Non,Entrepreunariat,Y,Frequent,22,3894,5,80,4,2,2,3,2,1,3,3,3,3,0.16,0,3,1,4,1,1,2,0.6666666666666666,1,3.0,778.8,0.6666666666666666,1,train
749,M,Divorcé(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Aucun,30,1274,1,80,1,1,0,3,3,1,3,2,2,3,0.13,2,2,1,7,3,0,0,0.0,0,2.5,637.0,0.5,0,train
750,M,Célibataire,Consulting,Assistant de Direction,Non,Autre,Y,Occasionnel,44,4541,1,80,20,20,11,4,3,2,4,2,3,4,0.25,0,3,1,29,4,13,17,0.5238095238095238,1,3.25,216.23809523809524,10.0,0,train
751,M,Divorcé(e),Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,30,2693,1,80,1,1,0,4,3,1,3,2,3,4,0.22,1,2,1,24,1,0,0,0.0,1,3.0,1346.5,0.5,0,train
752,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Frequent,27,8726,1,80,9,9,8,4,3,3,3,4,3,3,0.15,0,0,1,8,3,1,7,0.8,0,3.5,872.6,4.5,0,train
753,M,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,30,6578,1,80,10,10,3,3,2,2,3,1,3,3,0.18,1,3,1,10,3,1,4,0.2727272727272727,1,2.5,598.0,5.0,0,train
754,M,Célibataire,Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,24,4617,1,80,4,4,3,2,2,2,3,2,2,3,0.12,0,2,1,1,2,1,2,0.6,1,2.25,923.4,2.0,0,train
755,F,Marié(e),Consulting,Manager,Oui,Transformation Digitale,Y,Occasionnel,33,4878,0,80,10,9,7,2,3,2,4,1,3,3,0.13,1,6,1,15,2,8,1,0.7,0,2.5,443.45454545454544,10.0,0,train
756,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Frequent,43,2455,0,80,9,8,7,3,3,1,4,1,3,3,0.19,0,5,1,10,4,1,7,0.7777777777777778,0,2.75,245.5,9.0,0,train
757,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,34,6500,5,80,6,3,2,3,3,2,1,2,3,3,0.17,1,1,1,8,2,1,2,0.5,0,2.25,928.5714285714286,1.0,0,train
758,M,Célibataire,Commercial,Cadre Commercial,Oui,Marketing,Y,Frequent,46,5772,4,80,14,9,6,1,3,2,4,3,3,4,0.21,0,4,1,5,4,0,8,0.6,1,2.75,384.8,2.8,0,train
759,F,Marié(e),Consulting,Directeur Technique,Oui,Infra & Cloud,Y,Frequent,50,18172,3,80,28,8,3,1,3,5,2,1,2,3,0.19,0,1,1,1,3,0,7,0.3333333333333333,0,1.5,626.6206896551724,7.0,0,train
760,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,37,10609,5,80,17,14,1,1,2,3,3,3,1,3,0.11,0,2,1,1,4,11,7,0.06666666666666667,1,2.0,589.3888888888889,2.8333333333333335,1,train
761,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Frequent,29,4554,1,80,10,10,7,2,3,2,4,1,2,3,0.18,0,3,1,2,2,0,9,0.6363636363636364,0,2.25,414.0,5.0,0,train
762,F,Marié(e),Commercial,Cadre Commercial,Non,Marketing,Y,Frequent,44,4768,7,80,11,1,0,1,3,2,3,3,2,3,0.12,1,4,1,1,5,0,0,0.0,0,2.25,397.3333333333333,1.375,0,train
763,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,44,3420,1,80,6,5,2,4,3,1,2,3,2,3,0.13,0,3,1,20,3,1,3,0.3333333333333333,0,2.75,488.57142857142856,3.0,0,train
764,M,Marié(e),Consulting,Consultant,Non,Infra & Cloud,Y,Aucun,35,1281,1,80,1,1,0,3,2,1,3,3,3,3,0.18,2,3,1,3,3,0,0,0.0,1,3.0,640.5,0.5,0,train
765,F,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,54,10502,7,80,33,5,4,4,3,3,3,1,1,3,0.17,1,2,1,1,4,1,4,0.6666666666666666,0,2.25,308.88235294117646,4.125,0,train
766,F,Marié(e),Commercial,Senior Manager,Non,Transformation Digitale,Y,Occasionnel,48,12504,3,80,15,0,0,1,3,3,3,2,1,4,0.21,1,3,1,29,1,0,0,0.0,1,1.75,781.5,3.75,0,train
767,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,31,4148,1,80,4,4,3,3,3,2,1,3,3,3,0.12,1,1,1,1,1,0,3,0.6,0,2.5,829.6,2.0,0,train
768,F,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,32,5878,3,80,12,7,1,4,2,2,2,1,3,3,0.12,1,2,1,5,2,2,5,0.125,1,2.5,452.15384615384613,3.0,0,train
769,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,42,4907,1,80,20,20,16,2,3,2,3,3,3,4,0.25,0,3,1,1,1,11,6,0.7619047619047619,1,2.75,233.66666666666666,10.0,0,train
770,M,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Y,Frequent,31,2610,1,80,2,2,2,3,3,1,3,3,2,3,0.12,1,5,1,15,3,2,2,0.6666666666666666,0,2.75,870.0,1.0,1,train
771,F,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,36,2743,1,80,18,17,13,3,4,1,1,3,3,3,0.16,0,1,1,16,4,15,14,0.7222222222222222,-1,2.5,144.3684210526316,9.0,1,train
772,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,39,4108,7,80,18,7,7,1,3,2,4,1,3,3,0.13,0,2,1,24,1,1,7,0.875,0,2.25,216.21052631578948,2.25,0,train
773,M,Célibataire,Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,29,2362,6,80,11,9,7,1,2,1,1,3,1,3,0.13,0,2,1,1,4,0,7,0.7,1,1.5,196.83333333333334,1.5714285714285714,1,train
774,F,Célibataire,Commercial,Représentant Commercial,Non,Autre,Y,Occasionnel,26,2966,0,80,5,4,2,4,2,1,3,4,3,3,0.18,0,2,1,5,3,0,0,0.4,1,3.5,494.3333333333333,5.0,0,train
775,M,Célibataire,Commercial,Cadre Commercial,Oui,Marketing,Y,Aucun,34,5304,8,80,9,5,2,1,4,2,4,2,2,3,0.13,0,3,1,19,3,0,4,0.3333333333333333,-1,2.25,530.4,1.0,1,train
776,F,Divorcé(e),Commercial,Cadre Commercial,Non,Entrepreunariat,Y,Occasionnel,46,13225,2,80,25,19,17,1,4,4,1,4,3,3,0.12,1,5,1,3,3,2,8,0.85,-1,2.25,508.65384615384613,8.333333333333334,0,train
777,F,Marié(e),Consulting,Consultant,Non,Transformation Digitale,Y,Frequent,38,2468,4,80,9,6,1,3,2,1,2,2,2,3,0.14,1,4,1,2,2,0,5,0.14285714285714285,1,2.25,246.8,1.8,0,train
778,M,Divorcé(e),Consulting,Directeur Technique,Non,Transformation Digitale,Y,Occasionnel,55,14732,2,80,31,7,7,2,4,4,4,4,4,3,0.13,2,4,1,1,4,0,0,0.875,-1,3.5,460.375,10.333333333333334,0,train
779,M,Célibataire,Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,39,7880,0,80,9,8,7,1,4,3,3,4,3,3,0.18,0,3,1,2,5,0,7,0.7777777777777778,-1,2.75,788.0,9.0,0,train
780,M,Divorcé(e),Commercial,Cadre Commercial,Non,Autre,Y,Aucun,40,10932,3,80,20,1,0,3,1,3,1,3,3,3,0.15,1,2,1,28,3,0,1,0.0,2,2.5,520.5714285714286,5.0,0,train
781,F,Marié(e),Commercial,Représentant Commercial,Non,Marketing,Y,Frequent,34,2231,6,80,6,4,3,3,3,1,3,4,3,3,0.18,1,3,1,2,4,1,2,0.6,0,3.25,318.7142857142857,0.8571428571428571,0,train
782,F,Marié(e),Consulting,Assistant de Direction,Non,Entrepreunariat,Y,Occasionnel,29,2546,5,80,6,2,2,3,2,1,2,2,4,3,0.16,0,2,1,25,5,1,1,0.6666666666666666,1,2.75,363.7142857142857,1.0,1,train
783,M,Marié(e),Consulting,Consultant,Non,Entrepreunariat,Y,Occasionnel,56,2339,8,80,14,10,9,4,3,1,3,4,1,3,0.11,1,4,1,7,2,9,8,0.8181818181818182,0,3.0,155.93333333333334,1.5555555555555556,1,train
784,M,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Occasionnel,32,2269,0,80,3,2,2,2,2,1,2,2,3,3,0.14,1,2,1,1,4,2,2,0.6666666666666666,1,2.25,567.25,3.0,0,train
785,M,Marié(e),Consulting,Manager,Non,Transformation Digitale,Y,Occasionnel,53,7005,3,80,11,4,3,2,4,3,4,3,3,3,0.15,0,2,1,24,4,1,2,0.6,-1,3.0,583.75,2.75,0,train
786,M,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Occasionnel,23,1601,1,80,1,0,0,3,4,1,1,3,3,4,0.21,2,2,1,6,3,0,0,0.0,0,2.5,800.5,0.5,1,train
787,F,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Aucun,35,10377,4,80,16,13,2,3,2,3,4,2,2,3,0.11,1,6,1,8,2,4,12,0.14285714285714285,1,2.75,610.4117647058823,3.2,0,train
788,M,Célibataire,Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,48,4240,2,80,19,2,2,1,2,2,3,4,3,3,0.13,0,0,1,6,3,2,2,0.6666666666666666,1,2.75,212.0,6.333333333333333,0,train
789,M,Célibataire,Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Aucun,26,4969,8,80,7,2,2,2,1,2,1,4,3,3,0.18,0,6,1,29,2,2,2,0.6666666666666666,2,2.5,621.125,0.7777777777777778,1,train
790,M,Marié(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Frequent,35,2194,4,80,5,3,2,2,3,1,1,4,2,3,0.13,1,2,1,1,3,1,2,0.5,0,2.25,365.6666666666667,1.0,0,train
791,M,Marié(e),Consulting,Manager,Oui,Infra & Cloud,Y,Frequent,35,5689,1,80,10,10,2,3,3,2,3,4,4,3,0.14,2,2,1,18,4,0,2,0.18181818181818182,0,3.5,517.1818181818181,5.0,0,train
792,F,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,38,2619,3,80,8,0,0,3,3,1,1,4,2,3,0.17,0,3,1,1,1,0,0,0.0,0,2.5,291.0,2.0,0,train
793,F,Célibataire,Commercial,Senior Manager,Non,Infra & Cloud,Y,Occasionnel,55,16835,3,80,37,10,9,1,3,4,2,4,3,4,0.23,0,2,1,18,5,7,7,0.8181818181818182,1,2.5,443.0263157894737,9.25,0,train
794,M,Marié(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,37,9602,4,80,17,3,0,4,3,2,3,3,2,3,0.11,1,3,1,2,3,1,0,0.0,0,3.0,533.4444444444445,3.4,0,train
795,M,Célibataire,Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Occasionnel,30,1081,1,80,1,1,0,2,3,1,4,3,2,3,0.13,0,3,1,9,3,0,0,0.0,0,2.75,540.5,0.5,1,train
796,F,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,51,16307,2,80,29,20,6,1,3,4,3,3,2,3,0.14,1,2,1,26,4,4,17,0.2857142857142857,0,2.25,543.5666666666667,9.666666666666666,0,train
797,F,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,31,8943,1,80,10,10,9,3,2,3,3,1,3,4,0.24,1,2,1,7,2,8,9,0.8181818181818182,2,2.5,813.0,5.0,0,train
798,M,Divorcé(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,57,14118,3,80,32,1,0,1,2,4,4,3,2,3,0.12,1,3,1,29,3,0,0,0.0,1,2.5,427.8181818181818,8.0,0,train
799,F,Marié(e),Consulting,Assistant de Direction,Oui,Infra & Cloud,Y,Occasionnel,32,6322,1,80,6,6,4,1,3,2,4,4,2,3,0.12,1,2,1,9,4,0,5,0.5714285714285714,0,2.75,903.1428571428571,3.0,0,train
800,M,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Occasionnel,41,4766,3,80,6,1,0,2,3,1,4,1,3,3,0.11,1,4,1,12,4,0,0,0.0,0,2.5,680.8571428571429,1.5,0,train
801,M,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Frequent,38,1702,1,80,1,1,0,4,3,1,4,3,3,4,0.23,1,3,1,2,2,0,0,0.0,1,3.5,851.0,0.5,0,train
802,M,Célibataire,Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Frequent,27,2580,2,80,6,4,2,4,3,1,4,3,2,3,0.13,0,0,1,2,3,1,2,0.4,0,3.25,368.57142857142856,2.0,0,train
803,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Aucun,37,8834,1,80,9,9,5,1,3,3,2,4,3,3,0.13,1,6,1,9,4,7,7,0.5,0,2.5,883.4,4.5,0,train
804,F,Divorcé(e),Commercial,Cadre Commercial,Oui,Marketing,Y,Occasionnel,44,5454,5,80,9,4,3,2,3,2,1,3,2,4,0.21,1,2,1,1,5,1,3,0.6,1,2.0,545.4,1.5,0,train
805,F,Divorcé(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,29,9980,1,80,10,10,9,2,4,3,1,3,3,3,0.11,1,1,1,21,4,8,8,0.8181818181818182,-1,2.25,907.2727272727273,5.0,0,train
806,M,Célibataire,Commercial,Cadre Commercial,Non,Marketing,Y,Occasionnel,35,4312,0,80,16,15,13,3,2,2,1,2,3,3,0.14,0,2,1,1,4,2,8,0.8125,1,2.25,253.64705882352942,16.0,0,train
807,M,Marié(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,30,2862,1,80,10,10,0,2,3,1,4,2,2,3,0.12,1,2,1,16,1,0,8,0.0,0,2.5,260.1818181818182,5.0,0,train
808,F,Marié(e),Consulting,Tech Lead,Oui,Transformation Digitale,Y,Occasionnel,38,7756,3,80,10,5,4,4,2,3,3,4,4,3,0.19,1,6,1,2,2,0,2,0.6666666666666666,1,3.75,705.0909090909091,2.5,0,train
809,F,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,34,5714,1,80,6,6,5,2,3,2,3,1,2,4,0.2,0,3,1,9,1,1,3,0.7142857142857143,1,2.0,816.2857142857143,3.0,0,train
810,M,Marié(e),Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,42,18303,6,80,21,1,0,4,3,5,3,2,4,3,0.13,0,3,1,5,2,0,0,0.0,0,3.25,831.9545454545455,3.0,0,train
811,M,Célibataire,Consulting,Tech Lead,Non,Infra & Cloud,Y,Occasionnel,48,7898,1,80,11,10,9,4,3,3,4,3,3,3,0.11,0,2,1,4,3,0,8,0.8181818181818182,0,3.5,658.1666666666666,5.5,0,train
812,F,Célibataire,Consulting,Manager,Non,Entrepreunariat,Y,Occasionnel,39,4553,1,80,20,20,7,4,2,2,3,1,3,3,0.11,0,4,1,2,4,11,10,0.3333333333333333,1,2.75,216.8095238095238,10.0,0,train
813,M,Divorcé(e),Consulting,Tech Lead,Oui,Infra & Cloud,Y,Aucun,49,6804,1,80,7,7,7,4,3,2,4,1,3,3,0.15,2,0,1,18,4,1,7,0.875,0,3.0,850.5,3.5,0,train
814,F,Célibataire,Commercial,Senior Manager,Oui,Infra & Cloud,Y,Occasionnel,41,13591,3,80,16,1,0,4,3,3,4,3,3,3,0.18,0,3,1,6,3,0,0,0.0,0,3.5,799.4705882352941,4.0,0,train
815,M,Marié(e),Ressources Humaines,Ressources Humaines,Oui,Ressources Humaines,Y,Occasionnel,30,6347,0,80,12,11,9,3,3,2,4,4,1,3,0.19,0,2,1,9,3,4,7,0.75,0,3.0,488.2307692307692,12.0,0,train
816,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Aucun,40,3544,9,80,6,4,2,3,3,1,3,2,3,3,0.16,1,0,1,16,2,0,0,0.4,0,2.75,506.2857142857143,0.6,0,train
817,F,Célibataire,Commercial,Représentant Commercial,Non,Infra & Cloud,Y,Frequent,31,1359,1,80,1,1,0,2,1,1,3,2,3,3,0.12,0,3,1,1,4,0,0,0.0,2,2.5,679.5,0.5,1,train
818,F,Célibataire,Ressources Humaines,Ressources Humaines,Non,Infra & Cloud,Y,Occasionnel,44,5985,4,80,10,2,2,1,2,2,3,2,4,3,0.11,0,1,1,1,4,0,2,0.6666666666666666,1,2.5,544.0909090909091,2.0,0,train
819,F,Divorcé(e),Consulting,Consultant,Non,Transformation Digitale,Y,Occasionnel,29,2532,6,80,8,4,3,1,2,1,4,3,3,3,0.14,3,5,1,7,1,0,3,0.6,1,2.75,281.3333333333333,1.1428571428571428,0,train
820,M,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,38,5321,2,80,10,8,3,1,2,2,3,4,3,3,0.11,1,1,1,6,4,7,7,0.3333333333333333,1,2.75,483.72727272727275,3.3333333333333335,0,train
821,F,Divorcé(e),Commercial,Cadre Commercial,Non,Marketing,Y,Frequent,41,4103,0,80,10,9,3,3,3,2,1,4,3,3,0.17,1,2,1,1,3,1,7,0.3,0,2.75,373.0,10.0,0,train
822,M,Divorcé(e),Commercial,Cadre Commercial,Non,Transformation Digitale,Y,Occasionnel,33,4037,1,80,9,9,8,1,4,2,1,1,3,4,0.22,1,5,1,1,3,0,8,0.8,0,1.5,403.7,4.5,0,train
823,F,Divorcé(e),Consulting,Directeur Technique,Oui,Transformation Digitale,Y,Occasionnel,44,19049,0,80,23,22,7,2,3,5,4,4,2,3,0.14,1,4,1,7,3,1,10,0.30434782608695654,0,3.0,793.7083333333334,23.0,0,train
824,F,Marié(e),Consulting,Directeur Technique,Non,Infra & Cloud,Y,Aucun,36,11713,9,80,10,8,7,1,4,3,1,1,3,3,0.14,1,2,1,8,3,0,5,0.7777777777777778,-1,1.5,1064.8181818181818,1.0,0,train
825,M,Célibataire,Commercial,Cadre Commercial,Non,Autre,Y,Occasionnel,34,6274,1,80,6,6,5,4,3,2,4,3,3,4,0.22,0,5,1,2,3,1,4,0.7142857142857143,1,3.5,896.2857142857143,3.0,0,train
826,F,Célibataire,Commercial,Senior Manager,Non,Marketing,Y,Occasionnel,46,18947,3,80,22,2,2,2,3,5,1,4,2,3,0.12,0,2,1,2,4,2,1,0.6666666666666666,0,2.25,823.7826086956521,5.5,0,train
827,M,Célibataire,Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Aucun,44,2290,2,80,6,0,0,4,1,1,3,4,3,3,0.13,0,3,1,17,3,0,0,0.0,2,3.5,327.14285714285717,2.0,0,train
828,F,Marié(e),Consulting,Manager,Non,Infra & Cloud,Y,Aucun,35,4148,1,80,15,14,11,3,3,2,3,4,3,3,0.12,1,5,1,8,4,2,9,0.7333333333333333,0,3.25,259.25,7.5,0,train
829,F,Marié(e),Consulting,Consultant,Oui,Infra & Cloud,Y,Occasionnel,29,2319,1,80,1,1,0,2,2,1,1,4,3,3,0.11,1,1,1,1,2,0,0,0.0,1,2.5,1159.5,0.5,1,train
830,F,Célibataire,Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,38,7625,0,80,10,9,7,2,4,2,4,3,2,3,0.13,0,4,1,1,4,1,8,0.7,-1,2.75,693.1818181818181,10.0,0,train
831,F,Divorcé(e),Consulting,Tech Lead,Non,Transformation Digitale,Y,Occasionnel,53,4450,1,80,5,4,2,4,4,2,1,3,3,3,0.11,2,3,1,13,2,1,3,0.4,-1,2.75,741.6666666666666,2.5,0,train
832,M,Divorcé(e),Consulting,Directeur Technique,Non,Infra & Cloud,Y,Occasionnel,50,19144,3,80,28,10,4,1,3,5,2,1,2,3,0.14,2,4,1,4,1,1,6,0.36363636363636365,0,1.5,660.1379310344828,7.0,0,train
833,F,Marié(e),Commercial,Représentant Commercial,Non,Transformation Digitale,Y,Frequent,37,2973,5,80,10,5,4,3,3,1,4,2,3,3,0.15,1,3,1,21,2,0,0,0.6666666666666666,0,3.0,270.27272727272725,1.6666666666666667,0,train
834,M,Célibataire,Consulting,Tech Lead,Non,Transformation Digitale,Y,Occasionnel,37,4213,1,80,10,10,3,4,3,2,1,2,1,3,0.15,0,4,1,10,4,0,8,0.2727272727272727,0,2.0,383.0,5.0,1,train
835,M,Divorcé(e),Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,38,5745,9,80,10,2,2,4,3,2,4,2,3,3,0.14,1,2,1,23,4,1,2,0.6666666666666666,0,3.25,522.2727272727273,1.0,0,train
836,M,Divorcé(e),Consulting,Assistant de Direction,Non,Infra & Cloud,Y,Occasionnel,28,1563,1,80,1,1,0,1,2,1,3,4,1,3,0.14,1,2,1,1,3,0,0,0.0,1,2.25,781.5,0.5,0,train
837,M,Marié(e),Consulting,Tech Lead,Non,Infra & Cloud,Y,Frequent,55,10976,3,80,23,3,2,4,3,3,2,2,3,3,0.18,1,4,1,2,1,1,2,0.5,0,2.75,457.3333333333333,5.75,0,train
838,F,Marié(e),Consulting,Manager,Non,Infra & Cloud,Y,Occasionnel,38,8823,0,80,20,19,9,3,2,3,3,1,2,3,0.18,1,4,1,17,1,1,9,0.45,1,2.25,420.14285714285717,20.0,0,train
839,F,Célibataire,Commercial,Senior Manager,Oui,Marketing,Y,Occasionnel,45,18824,2,80,26,24,10,1,1,5,2,1,3,3,0.16,0,2,1,2,3,1,11,0.4,2,1.75,697.1851851851852,8.666666666666666,1,train
840,M,Marié(e),Ressources Humaines,Ressources Humaines,Non,Ressources Humaines,Y,Occasionnel,31,2956,0,80,2,1,0,4,4,1,1,3,3,3,0.17,0,4,1,18,5,0,0,0.0,-1,2.75,985.3333333333334,2.0,1,train
841,F,Divorcé(e),Consulting,Assistant de Direction,Non,Transformation Digitale,Y,Occasionnel,43,2645,1,80,6,5,3,4,4,1,3,4,2,3,0.12,2,3,1,2,2,1,4,0.5,-1,3.25,377.85714285714283,3.0,0,train
842,M,Divorcé(e),Consulting,Senior Manager,Non,Infra & Cloud,Y,Occasionnel,40,16823,2,80,22,19,7,1,3,4,1,1,3,3,0.11,1,3,1,1,4,11,16,0.35,0,1.5,731.4347826086956,7.333333333333333,0,train
843,F,Célibataire,Commercial,Cadre Commercial,Non,Entrepreunariat,Y,Occasionnel,30,6577,0,80,6,5,4,2,3,2,3,2,3,3,0.11,0,6,1,12,3,4,4,0.6666666666666666,0,2.5,939.5714285714286,6.0,0,train
844,M,Marié(e),Commercial,Cadre Commercial,Non,Infra & Cloud,Y,Occasionnel,28,4724,1,80,5,5,3,3,2,2,1,3,3,3,0.11,1,0,1,26,3,0,4,0.5,1,2.5,787.3333333333334,2.5,0,train
845,F,Célibataire,Commercial,Représentant Commercial,Oui,Transformation Digitale,Y,Frequent,18,1569,1,80,0,0,0,2,3,1,4,3,4,3,0.12,0,2,1,3,2,0,0,0.0,0,3.25,1569.0,0.0,1,train
846,M,Célibataire,Consulting,Consultant,Non,Infra & Cloud,Y,Occasionnel,28,3485,2,80,5,0,0,1,3,1,3,3,1,3,0.11,0,5,1,2,4,0,0,0.0,0,2.0,580.8333333333334,1.6666666666666667,1,train
847,F,Marié(e),Commercial,Cadre Commercial,Oui,Transformation Digitale,Y,Occasionnel,39,5238,4,80,12,1,0,4,3,2,3,1,2,3,0.18,0,3,1,3,2,0,0,0.0,0,2.5,402.9230769230769,2.4,1,train
